A,B,C,G,R,X6,X8,Class
8,782.24,719.76,70.61,406,82.5123,0.2486,C
7,792.24,719.76,70.61,812,41.6256,0.2104,C
7,809.73,739.75,59.43,1088,72.88600000000001,0.247,C
7,808.59,739.75,59.43,1087,77.5529,0.2473,C
6,814.87,739.75,64.54,903,63.8981,0.1753,C
7,842.66,759.75,64.54,1259,71.3264,0.2792,C
8,838.84,759.75,64.54,909,89.65899999999999,0.2805,C
8,802.3,749.75,66.69,565,79.292,0.2849,C
6,804.02,749.75,66.69,747,59.7055,0.2132,C
7,824.73,759.75,67.44,705,53.3333,0.2496,C
8,807.51,759.75,67.44,353,75.0708,0.2752,C
8,791.96,759.75,70.61,267,65.9176,0.2806,C
9,793.16,749.75,70.61,405,38.0247,0.2882,C
9,789.18,749.75,72.31,248,40.3226,0.17600000000000002,C
10,799.45,759.75,72.31,189,66.6667,0.2859,C
9,793.35,769.74,72.31,177,69.4915,0.2801,C
8,777.58,749.75,73.2,111,49.5495,0.2781,C
8,787.24,749.75,71.45,156,87.8205,0.2823,C
10,802.3,749.75,68.99,464,53.4483,0.2849,C
9,810.59,749.75,67.44,663,64.1026,0.2467,C
8,812.87,759.75,67.44,541,79.8521,0.2812,C
8,806.59,769.74,69.79,370,84.5946,0.2834,C
9,801.73,769.74,69.79,219,75.7991,0.2851,C
8,809.73,759.75,68.99,192,77.0833,0.2823,C
8,808.87,769.74,68.99,221,59.7285,0.2826,C
8,784.74,759.75,72.31,144,84.0278,0.3186,C
8,770.01,739.75,74.1,120,72.5,0.2808,C
8,782.24,739.75,72.31,175,56.0,0.2486,C
9,795.29,769.74,72.31,173,62.4277,0.2794,C
7,776.5,729.76,72.31,254,34.251999999999995,0.3133,C
8,760.54,729.76,75.03,145,34.4828,0.3114,C
9,759.48,739.75,75.97,75,62.6667,0.3203,C
9,766.23,739.75,75.97,123,83.7398,0.3175,C
9,772.45,739.75,74.1,150,52.0,0.2799,C
8,770.01,729.76,74.1,232,38.3621,0.3159,C
8,759.48,729.76,74.1,138,59.4203,0.2426,C
8,752.99,719.76,76.95,151,41.7219,0.32299999999999995,C
8,767.58,719.76,74.1,208,68.75,0.2465,C
9,783.79,739.75,73.2,182,79.6703,0.3103,C
10,779.74,749.75,73.2,181,56.3536,0.285,C
9,778.63,739.75,56.09,1841,68.2781,0.2854,C
9,761.33,699.77,56.09,1863,65.4858,0.2765,C
7,720.26,679.77,75.03,321,27.4143,0.1736,C
7,729.5,589.8,68.2,589,40.0679,0.3163,C
10,782.24,589.8,56.09,2434,64.3385,0.3196,C
9,773.08,729.76,56.09,1638,72.2833,0.2875,C
9,745.8,679.77,73.2,394,47.4619,0.2823,C
8,763.43,679.77,59.43,1256,77.5478,0.2413,C
8,832.66,719.76,59.43,1993,66.0813,0.2473,C
9,850.32,779.74,65.24,829,79.7346,0.2138,C
9,786.68,699.77,68.2,532,52.4436,0.1412,C
10,738.7,649.78,68.2,618,38.6731,0.3206,C
9,764.61,649.78,67.44,1544,27.3316,0.1767,C
9,801.95,689.77,67.44,915,59.1257,0.2425,C
8,796.12,749.75,70.61,506,55.336000000000006,0.2094,C
8,809.44,759.75,68.99,306,93.4641,0.2471,C
8,808.59,739.75,68.99,531,59.6987,0.2473,C
8,795.45,729.76,69.79,465,70.1075,0.2514,C
8,800.88,739.75,69.79,542,58.8561,0.2497,C
9,780.82,729.76,71.45,294,48.9796,0.2769,C
9,788.27,729.76,53.12,2941,66.74600000000001,0.2239,C
8,790.03,729.76,65.24,780,44.8718,0.2978,C
9,808.87,749.75,68.99,332,88.5542,0.2473,C
9,823.44,769.74,68.99,403,92.3077,0.2429,C
9,798.9,749.75,70.61,372,51.3441,0.2434,C
9,794.31,749.75,71.45,316,62.3418,0.2518,C
8,808.59,759.75,69.79,288,92.3611,0.2473,C
8,786.96,719.76,69.79,290,66.8966,0.2824,C
9,784.18,719.76,70.61,411,34.3066,0.2834,C
8,829.72,759.75,63.18,579,53.886,0.24100000000000002,C
8,832.08,759.75,63.18,888,35.0225,0.2474,C
8,789.74,739.75,68.99,224,69.1964,0.2462,C
9,780.02,739.75,70.61,240,62.0833,0.2493,C
8,804.59,739.75,69.79,404,80.6931,0.2486,C
8,803.9,759.75,69.79,403,87.8412,0.2764,C
7,794.58,619.79,69.79,1073,92.7307,0.267,C
8,817.23,619.79,67.44,1064,96.0526,0.2677,C
8,834.43,779.74,67.44,440,84.7727,0.2467,C
8,816.58,759.75,68.2,425,68.4706,0.2449,C
8,810.3,759.75,65.24,380,94.2105,0.2468,C
8,821.78,759.75,65.24,514,91.2451,0.2505,C
8,820.3,789.74,68.99,392,88.0102,0.2438,C
8,803.9,759.75,70.61,275,87.2727,0.2419,C
8,802.59,759.75,71.45,336,85.4167,0.2492,C
8,808.59,769.74,71.45,269,95.9108,0.2827,C
8,806.3,759.75,70.61,282,87.9433,0.2835,C
8,786.96,729.76,70.61,280,76.4286,0.2471,C
10,765.53,709.76,64.54,881,59.7049,0.2063,C
10,760.83,709.76,64.54,809,46.3535,0.2131,C
9,784.74,719.76,70.61,272,47.7941,0.3186,C
8,800.01,759.75,70.61,117,92.3077,0.3125,C
8,775.69,709.76,72.31,206,44.6602,0.3484,C
7,824.88,709.76,42.27,2007,61.7838,0.2572,C
7,1027.3,739.75,42.27,23365,20.077,0.1718,C
10,881.98,449.85,37.51,50993,47.6811,0.1031,C
12,828.34,389.87,43.81,49067,72.4948,0.2914,C
11,650.93,309.9,43.81,63180,75.5271,0.3512,C
11,510.58,309.9,48.8,29002,87.0354,0.1848,C
19,529.28,309.9,41.11,38422,88.1734,0.2061,C
14,626.9,309.9,41.11,34176,95.1925,0.1679,C
10,733.87,679.77,74.1,199,25.1256,0.1202,C
10,753.7,709.76,73.2,74,71.6216,0.1397,C
8,778.63,729.76,68.99,503,38.171,0.2141,C
9,851.23,729.76,56.09,1391,40.4026,0.1424,C
8,815.16,709.76,56.09,3293,29.2439,0.1402,C
9,755.8,709.76,71.45,179,20.1117,0.1741,C
8,761.64,719.76,71.45,205,20.0,0.2839,C
8,732.58,689.77,75.97,113,30.0885,0.14,C
9,703.91,649.78,80.03,148,45.2703,0.2426,C
9,711.76,649.78,75.97,122,57.376999999999995,0.1405,C
9,754.49,679.77,70.61,315,28.8889,0.27899999999999997,C
8,765.15,709.76,70.61,154,48.0519,0.2119,C
9,750.61,679.77,73.2,330,46.6667,0.2284,C
8,704.38,639.79,73.2,628,10.3503,0.1456,C
7,722.01,639.79,68.99,1140,29.6491,0.3116,C
7,765.96,689.77,68.99,1002,37.0259,0.3529,C
6,757.32,699.77,72.31,482,30.4979,0.1428,C
8,736.68,689.77,76.95,222,44.5946,0.3133,C
7,740.78,689.77,75.03,272,34.1912,0.2769,C
6,755.01,709.76,75.03,290,32.7586,0.3486,C
8,741.33,709.76,75.03,237,62.8692,0.355,C
6,726.17,669.78,74.1,268,52.9851,0.3178,C
6,747.65,669.78,74.1,314,45.5414,0.3168,C
6,754.22,709.76,75.03,210,71.4286,0.314,C
7,724.63,679.77,78.97,150,31.3333,0.3185,C
7,717.45,679.77,77.95,148,78.3784,0.2859,C
6,728.73,689.77,76.95,202,72.7723,0.3167,C
6,718.48,679.77,76.95,158,66.4557,0.2498,C
6,708.51,679.77,81.11,100,84.0,0.3176,C
6,706.11,689.77,82.22,107,95.3271,0.3109,C
7,690.01,639.79,82.22,160,54.375,0.138,C
7,686.84,639.79,82.22,127,44.0945,0.3196,C
6,688.55,649.78,82.22,154,46.7532,0.3188,C
6,674.89,649.78,85.74,86,43.0233,0.3446,C
9,673.96,639.79,85.74,50,56.0,0.3451,C
7,682.39,649.78,84.54,134,42.5373,0.1396,C
7,683.58,659.78,83.36,130,56.9231,0.3135,C
6,675.49,659.78,83.36,51,76.4706,0.3172,C
6,675.97,659.78,84.54,47,74.4681,0.3522,C
6,678.58,649.78,84.54,76,68.4211,0.2807,C
7,674.19,649.78,84.54,82,86.5854,0.3105,C
6,670.94,649.78,86.99,48,79.1667,0.3466,C
6,673.11,649.78,85.74,64,73.4375,0.3537,C
5,666.19,629.79,78.97,168,82.1429,0.3079,C
8,671.06,629.79,84.54,92,69.5652,0.3057,C
9,679.06,649.78,84.54,90,57.7778,0.3156,C
9,669.54,649.78,86.99,72,72.2222,0.3126,C
7,658.19,629.79,88.26,48,60.4167,0.3453,C
8,657.69,629.79,84.54,49,69.3878,0.3182,C
9,660.01,639.79,84.54,50,72.0,0.3524,C
9,657.28,639.79,86.99,51,92.1569,0.3458,C
7,657.28,639.79,88.26,57,71.9298,0.3458,C
9,662.34,639.79,88.26,67,76.1194,0.316,C
8,666.52,639.79,85.74,62,83.87100000000001,0.314,C
9,663.5,639.79,85.74,91,57.1429,0.3155,C
9,661.87,639.79,86.99,93,54.8387,0.3162,C
7,659.78,639.79,86.99,69,86.9565,0.31,C
7,666.99,639.79,85.74,131,76.3359,0.3138,C
6,666.75,639.79,85.74,124,65.3226,0.3139,C
7,669.54,639.79,84.54,77,49.3506,0.3473,C
7,672.16,649.78,84.54,89,67.4157,0.3188,C
8,669.31,649.78,86.99,46,86.9565,0.3127,C
8,665.59,649.78,86.99,45,93.3333,0.3145,C
8,667.68,649.78,86.99,47,78.7234,0.3483,C
8,672.16,649.78,85.74,75,60.0,0.3188,C
10,674.3,649.78,85.74,80,58.75,0.3178,C
10,663.5,639.79,86.99,105,74.2857,0.3155,C
8,645.34,619.79,88.26,38,76.3158,0.3444,C
8,646.83,609.8,82.22,429,24.9417,0.24600000000000002,C
8,690.99,609.8,80.03,378,32.5397,0.2824,C
10,695.01,649.78,80.03,46,56.5217,0.2741,C
9,699.04,649.78,78.97,211,39.3365,0.2791,C
10,739.49,699.77,75.03,130,53.8462,0.3203,C
8,741.07,719.76,76.95,90,91.1111,0.3196,C
8,728.48,699.77,76.95,139,58.9928,0.1408,C
10,689.53,609.8,80.03,590,31.6949,0.3184,C
14,640.23,589.8,80.03,476,22.479,0.2083,C
15,618.94,589.8,92.34,146,10.274000000000001,0.3094,C
17,616.18,579.81,90.94,259,10.8108,0.1727,C
18,619.79,579.81,90.94,213,17.8404,0.1403,C
16,624.36,599.8,89.58,112,14.2857,0.1741,C
17,625.66,599.8,89.58,44,50.0,0.139,C
18,622.62,599.8,93.78,62,19.3548,0.2444,C
16,627.4,609.8,92.34,75,8.0,0.3465,C
17,629.14,609.8,92.34,51,23.5294,0.2419,C
15,633.79,609.8,89.58,114,36.8421,0.2104,C
15,638.68,609.8,84.54,244,15.1639,0.2436,C
19,627.18,609.8,86.99,76,53.9474,0.2426,C
20,601.47,549.82,85.74,186,33.871,0.2771,C
18,599.8,539.82,84.54,410,55.3659,0.2084,C
25,634.23,539.82,84.54,286,86.014,0.1752,C
27,620.01,369.88,88.26,110,41.8182,0.2402,C
26,614.05,589.8,93.78,86,59.3023,0.3119,D
23,609.8,569.81,93.78,145,28.9655,0.2094,D
24,616.32,569.81,90.94,189,23.8095,0.3527,D
24,621.28,379.87,90.94,71,53.5211,0.3425,D
23,631.12,599.8,90.94,58,37.931,0.3521,D
26,623.27,589.8,90.94,111,28.8288,0.1395,D
23,599.38,549.82,92.34,127,14.9606,0.1738,D
24,605.12,549.82,83.36,439,37.8132,0.1406,D
26,610.65,569.81,83.36,480,31.6667,0.1394,D
24,605.97,569.81,90.94,191,25.1309,0.2809,D
21,615.42,359.88,90.94,250,38.0,0.2708,D
21,628.27,599.8,90.94,106,68.8679,0.1384,D
21,624.79,589.8,89.58,167,77.2455,0.174,D
22,626.53,589.8,86.99,369,70.4607,0.1735,D
23,631.31,589.8,86.99,279,70.6093,0.1377,D
19,627.4,599.8,90.94,104,37.5,0.3465,D
18,632.9,599.8,89.58,68,50.0,0.2809,D
18,661.14,619.79,80.03,316,29.1139,0.2063,D
19,660.46,599.8,80.03,350,24.2857,0.2065,D
18,639.79,599.8,89.58,100,46.0,0.3473,D
17,635.12,609.8,89.58,72,59.7222,0.14,D
25,631.31,599.8,89.58,154,39.6104,0.1722,D
23,626.75,599.8,89.58,146,47.2603,0.1387,D
17,638.01,609.8,84.54,221,28.0543,0.2786,D
19,645.47,609.8,84.54,115,33.913000000000004,0.1408,D
22,643.12,609.8,86.99,94,25.5319,0.311,D
23,628.51,359.88,86.99,79,73.4177,0.1354,D
28,614.05,579.81,90.94,123,32.5203,0.1386,D
26,609.37,569.81,89.58,270,13.3333,0.1746,D
25,628.05,569.81,88.26,260,36.5385,0.2769,D
26,627.62,589.8,88.26,138,38.4058,0.1732,D
28,601.67,579.81,95.27,62,40.3226,0.27699999999999997,D
27,610.43,579.81,90.94,43,67.4419,0.1394,D
26,631.35,589.8,89.58,26,88.4615,0.35200000000000004,D
27,621.28,369.88,89.58,124,31.4516,0.2397,D
27,612.77,589.8,92.34,89,53.9326,0.1736,D
24,625.79,589.8,86.99,144,10.4167,0.142,D
23,625.88,599.8,86.99,128,17.9688,0.2779,D
26,631.12,589.8,55.06,3244,72.1023,0.1408,D
26,648.42,589.8,55.06,3140,70.0,0.1402,D
23,636.01,589.8,89.58,133,46.6165,0.1747,D
22,640.01,589.8,86.99,208,30.7692,0.1389,D
26,648.89,619.79,86.99,98,21.4286,0.3425,D
23,652.28,619.79,85.74,100,31.0,0.3484,D
21,675.73,639.79,84.54,61,37.7049,0.1762,D
24,692.86,669.78,75.97,182,73.0769,0.1375,D
21,678.11,599.8,82.22,263,46.3878,0.1404,D
21,655.01,599.8,83.36,99,53.5354,0.3123,D
27,645.56,609.8,85.74,56,33.9286,0.1377,D
25,621.53,569.81,90.94,102,21.5686,0.1749,D
26,612.56,569.81,88.26,295,29.4915,0.1389,D
27,618.73,579.81,88.26,201,41.2935,0.1376,D
26,630.23,599.8,90.94,92,28.2609,0.141,D
26,633.57,589.8,90.94,65,32.3077,0.1403,D
23,636.31,589.8,89.58,174,32.7586,0.1367,D
23,639.56,609.8,89.58,112,50.0,0.278,D
26,628.73,359.88,89.58,93,51.6129,0.1354,D
27,630.44,599.8,90.94,56,46.4286,0.2414,D
27,620.23,599.8,93.78,54,88.8889,0.2103,D
28,609.16,589.8,93.78,62,62.9032,0.1397,D
28,606.05,579.81,93.78,71,53.5211,0.2406,D
23,601.05,569.81,90.94,104,72.1154,0.1733,D
21,616.39,569.81,83.36,520,30.1923,0.1726,D
24,664.1,369.88,81.11,744,29.9731,0.1711,D
24,678.35,639.79,81.11,219,13.6986,0.2106,D
26,667.92,639.79,76.95,272,65.0735,0.1741,D
26,668.85,609.8,76.95,461,79.8265,0.1391,D
26,655.24,609.8,78.97,346,39.8844,0.1387,D
28,638.05,369.88,90.94,116,73.2759,0.3066,D
27,625.88,589.8,90.94,121,48.7603,0.2779,D
26,617.67,369.88,89.58,111,77.4775,0.3445,D
25,638.48,359.88,89.58,105,66.6667,0.3064,D
20,660.24,639.79,86.99,53,47.1698,0.1761,D
16,651.6,579.81,86.99,189,34.9206,0.1395,D
20,626.96,569.81,88.26,48,41.6667,0.1387,D
24,633.34,569.81,89.58,189,57.672,0.1754,D
25,648.19,579.81,77.95,419,37.2315,0.2805,D
25,657.96,579.81,74.1,646,45.0464,0.3454,D
27,654.1,619.79,74.1,92,51.086999999999996,0.3475,D
28,649.1,629.79,88.26,61,68.8525,0.1401,D
27,653.42,629.79,88.26,75,54.6667,0.2087,D
26,650.92,629.79,88.26,46,71.7391,0.1397,D
25,657.74,629.79,82.22,162,25.3086,0.2073,D
26,680.96,639.79,78.97,293,17.7474,0.2098,D
24,685.96,649.78,78.97,251,8.3665,0.1388,D
26,686.91,649.78,77.95,231,20.3463,0.2426,D
25,682.33,369.88,77.95,230,40.0,0.2386,D
25,684.77,649.78,82.22,98,24.4898,0.1739,D
25,660.94,609.8,82.22,217,28.5714,0.1759,D
22,617.03,559.81,89.58,126,34.9206,0.3103,D
21,621.75,559.81,89.58,278,21.5827,0.1399,D
27,642.23,599.8,86.99,107,12.1495,0.2768,D
27,644.9,599.8,86.99,153,32.6797,0.1378,D
26,666.29,629.79,82.22,97,47.4227,0.3141,D
25,675.49,639.79,82.22,91,50.5495,0.3525,D
24,666.06,619.79,85.74,156,61.5385,0.1397,D
25,654.1,619.79,83.36,189,69.3122,0.2085,D
26,652.06,629.79,83.36,204,56.3725,0.2788,D
26,654.78,629.79,88.26,74,37.8378,0.3471,D
27,639.12,599.8,86.99,160,40.625,0.1391,D
24,644.79,599.8,86.99,197,64.467,0.1762,D
25,666.75,639.79,84.54,147,44.2177,0.1395,D
25,651.83,589.8,84.54,151,48.3444,0.1395,E
27,635.79,589.8,90.94,60,43.3333,0.3495,E
27,643.92,369.88,86.99,141,29.7872,0.135,E
26,648.19,609.8,86.99,212,54.2453,0.1753,E
23,622.35,579.81,88.26,200,62.5,0.2393,E
22,639.34,569.81,78.97,255,51.7647,0.139,E
24,702.27,589.8,61.24,663,50.3771,0.2848,E
21,718.22,649.78,61.24,2181,30.6282,0.1428,E
18,690.23,359.88,74.1,951,21.9769,0.1348,E
23,678.38,619.79,80.03,446,42.1525,0.1371,E
23,687.21,359.88,58.84,2696,46.5134,0.1354,E
25,676.05,359.88,58.84,2657,45.4272,0.1376,E
24,649.56,569.81,84.54,538,27.5093,0.14,E
21,618.49,549.82,84.54,616,6.4935,0.3163,E
18,611.29,549.82,90.94,462,14.0693,0.2785,E
17,621.97,589.8,90.94,161,13.0435,0.1398,E
24,609.58,559.81,92.34,50,38.0,0.2792,E
29,590.62,559.81,96.81,107,15.8879,0.1382,E
25,592.46,549.82,85.74,635,9.2913,0.1378,E
20,580.21,539.82,85.74,609,14.7783,0.1724,E
16,567.07,539.82,95.27,199,34.1709,0.1383,E
18,581.85,539.82,89.58,405,17.7778,0.1403,E
19,582.21,549.82,89.58,384,14.0625,0.1718,E
20,603.55,549.82,51.74,5454,64.1731,0.1381,E
26,607.71,549.82,90.94,268,57.4627,0.1371,E
27,615.66,579.81,92.34,59,47.4576,0.1766,E
24,622.13,369.88,92.34,79,73.4177,0.171,E
24,621.31,589.8,89.58,198,32.3232,0.3149,E
24,632.56,389.87,83.36,559,25.2236,0.3027,E
20,674.19,619.79,82.22,282,25.8865,0.3449,E
17,682.87,649.78,82.22,183,24.0437,0.1395,E
16,684.53,649.78,78.97,215,65.1163,0.3478,E
18,683.11,639.79,78.97,143,77.6224,0.1394,E
22,662.51,509.83,85.74,261,71.6475,0.2401,E
23,661.6,509.83,84.54,364,60.1648,0.2405,E
25,671.17,619.79,77.95,550,45.6364,0.1386,E
25,660.48,599.8,77.95,560,29.4643,0.1408,E
27,642.45,599.8,85.74,112,36.6071,0.2421,E
27,641.34,619.79,89.58,45,57.7778,0.1733,E
24,636.68,579.81,90.94,144,65.9722,0.1396,E
25,630.22,569.81,77.95,578,68.5121,0.138,E
25,638.05,369.88,77.95,708,54.661,0.2044,E
27,646.38,589.8,86.99,170,32.3529,0.2461,E
26,634.01,589.8,86.99,145,44.1379,0.2103,E
26,647.34,609.8,85.74,144,41.6667,0.20600000000000002,E
26,663.96,619.79,85.74,140,58.5714,0.3503,E
25,641.79,589.8,85.74,144,46.5278,0.3463,E
26,629.36,589.8,88.26,177,25.9887,0.1382,E
27,656.83,589.8,83.36,155,49.0323,0.1384,E
25,671.37,359.88,81.11,304,47.3684,0.1354,E
25,691.23,649.78,78.97,340,43.5294,0.1411,E
25,689.77,649.78,80.03,312,56.0897,0.2829,E
25,669.78,629.79,83.36,203,59.6059,0.3472,E
26,642.01,599.8,84.54,158,55.6962,0.1731,E
27,629.79,599.8,89.58,65,38.4615,0.2761,E
26,646.01,599.8,86.99,144,38.1944,0.1376,E
27,662.34,599.8,82.22,201,25.8706,0.1404,E
26,670.47,599.8,78.97,247,57.8947,0.1387,E
26,648.42,599.8,78.97,198,62.6263,0.2804,E
28,623.49,599.8,84.54,123,39.0244,0.1743,E
28,608.95,569.81,92.34,89,47.191,0.3145,E
24,595.52,559.81,92.34,203,46.798,0.1714,E
22,601.67,559.81,92.34,158,25.3165,0.3116,E
24,630.23,559.81,89.58,66,28.7879,0.3173,E
26,636.01,609.8,89.58,51,33.3333,0.3494,E
24,629.57,609.8,89.58,80,26.25,0.2417,E
21,637.12,609.8,89.58,101,33.6634,0.2442,E
21,631.53,559.81,88.26,592,23.9865,0.1721,E
22,603.34,549.82,88.26,472,59.7458,0.1381,E
21,619.16,549.82,84.54,461,41.8655,0.1375,E
22,659.78,619.79,78.97,646,22.6006,0.2467,E
22,687.87,599.8,57.71,3798,81.2006,0.1385,E
22,667.68,579.81,57.71,2897,76.3203,0.1742,E
23,660.94,579.81,75.03,739,52.9093,0.1407,E
25,664.32,609.8,75.03,311,52.4116,0.1711,E
27,637.4,369.88,88.26,146,52.7397,0.1364,E
22,659.78,599.8,70.61,1097,62.5342,0.2067,E
18,671.44,349.88,70.61,2493,75.6117,0.1418,E
15,682.63,349.88,80.03,175,75.4286,0.2442,E
19,698.06,649.78,44.46,9846,72.8722,0.2446,E
24,683.11,599.8,44.46,12888,63.4699,0.2091,E
26,641.31,369.88,78.97,493,49.4929,0.2034,E
23,664.66,599.8,82.22,281,76.1566,0.1749,E
23,695.87,669.78,82.22,103,72.8155,0.1402,E
22,696.6,659.78,81.11,78,65.3846,0.1401,E
20,685.96,659.78,81.11,121,52.8926,0.1388,E
23,678.61,639.79,72.31,806,50.4963,0.1371,E
23,681.17,639.79,72.31,786,62.4682,0.1366,E
24,694.29,649.78,80.03,281,82.2064,0.1715,E
24,690.72,629.79,80.03,320,65.0,0.2758,E
24,654.33,579.81,82.22,334,43.7126,0.1389,E
24,664.55,379.87,75.03,1148,46.1672,0.2394,E
22,720.51,649.78,75.03,611,67.2668,0.2776,E
24,722.01,689.77,80.03,85,56.4706,0.3463,E
25,713.76,689.77,77.95,150,18.6667,0.3503,E
24,715.01,689.77,77.95,190,15.2632,0.3497,E
23,701.72,589.8,80.03,453,15.894,0.139,E
17,634.23,569.81,82.22,376,25.0,0.2102,E
17,628.7,569.81,82.22,144,34.0278,0.242,E
25,673.03,599.8,81.11,286,40.9091,0.1382,E
25,684.06,659.78,81.11,112,47.3214,0.1392,E
24,670.47,619.79,83.36,116,16.3793,0.1387,E
23,640.23,579.81,83.36,542,22.3247,0.1388,E
24,640.45,579.81,85.74,344,52.0349,0.1735,E
26,692.15,629.79,76.95,384,63.2812,0.3096,E
24,714.51,659.78,76.95,301,74.4186,0.2799,E
25,690.5,629.79,80.03,260,58.0769,0.1766,E
25,668.61,609.8,82.22,530,44.9057,0.1739,E
26,642.01,589.8,84.54,174,59.1954,0.1731,E
25,643.34,589.8,84.54,208,79.8077,0.2763,E
26,644.79,599.8,84.54,182,90.1099,0.141,E
25,636.68,599.8,89.58,132,87.1212,0.1745,E
23,666.29,469.84,62.52,2673,70.4078,0.3141,E
24,684.3,469.84,62.52,4457,59.6365,0.3132,E
23,661.6,599.8,80.03,553,33.6347,0.2748,E
23,670.71,619.79,60.63,1919,59.9792,0.1387,E
21,681.44,619.79,60.63,2210,62.3077,0.1398,E
18,666.29,619.79,80.03,302,42.053000000000004,0.1396,E
16,636.23,569.81,83.36,181,12.7072,0.3493,E
15,646.45,569.81,83.36,306,23.5294,0.1375,E
14,665.13,639.79,83.36,181,32.0442,0.1399,E
15,622.4,499.83,89.58,408,31.3725,0.3493,E
18,563.15,369.88,92.34,235,77.0213,0.2786,E
19,568.63,369.88,81.11,1289,24.4375,0.2759,E
19,601.71,539.82,81.11,1332,6.7568,0.2475,E
20,610.43,569.81,92.34,122,46.7213,0.2788,E
16,621.49,579.81,88.26,168,28.5714,0.2739,E
14,631.75,559.81,86.99,411,21.1679,0.3097,E
14,637.57,559.81,83.36,801,24.5943,0.1394,E
15,649.34,569.81,80.03,928,51.4009,0.1369,E
14,660.71,589.8,75.03,837,56.8698,0.1408,E
10,663.27,599.8,75.03,579,69.9482,0.3156,E
11,624.79,319.89,84.54,976,74.5902,0.2784,E
12,627.4,319.89,81.11,1455,54.433,0.2772,E
11,665.59,609.8,63.85,2255,62.2616,0.1398,E
14,647.51,589.8,63.85,1934,71.4581,0.1404,E
13,619.79,579.81,86.99,316,29.7468,0.2455,E
12,628.49,579.81,86.99,260,48.8462,0.2075,E
10,622.18,569.81,90.94,86,26.7442,0.3494,E
14,631.12,569.81,81.11,281,46.6192,0.3521,E
14,661.64,609.8,81.11,593,43.339,0.2109,E
13,651.83,609.8,81.11,288,25.3472,0.1395,E
15,637.12,599.8,89.58,113,56.6372,0.3488,E
18,626.01,569.81,89.58,265,30.9434,0.3195,E
19,632.83,569.81,85.74,448,29.4643,0.3092,E
21,659.78,619.79,85.74,203,52.7094,0.3525,E
17,656.6,609.8,85.74,230,24.3478,0.3461,E
10,658.42,619.79,86.99,118,55.9322,0.2761,E
10,639.29,559.81,86.99,131,74.8092,0.2346,E
14,621.19,559.81,90.94,107,62.6168,0.2246,E
20,630.46,589.8,89.58,186,56.9892,0.141,E
17,633.12,589.8,89.58,178,60.6742,0.1755,E
12,622.18,599.8,90.94,103,44.6602,0.1747,E
10,633.57,599.8,88.26,89,39.3258,0.3508,E
11,633.34,599.8,88.26,78,41.0256,0.3509,E
14,616.53,579.81,90.94,91,40.6593,0.1763,E
18,614.9,579.81,90.94,91,39.5604,0.17300000000000001,E
17,613.84,579.81,92.34,106,30.1887,0.1386,E
13,622.23,579.81,85.74,113,92.9204,0.1568,E
10,641.74,599.8,85.74,132,72.7273,0.152,E
10,638.23,589.8,88.26,108,25.9259,0.3482,E
11,636.23,589.8,82.22,163,27.6074,0.2445,E
11,617.84,579.81,82.22,131,35.8779,0.1407,E
13,621.71,579.81,49.6,6952,63.2768,0.1711,E
12,640.01,579.81,48.02,13966,88.60799999999999,0.2083,E
10,620.88,579.81,48.02,8753,72.6265,0.1751,E
12,603.97,559.81,93.78,169,28.9941,0.138,E
17,605.97,559.81,88.26,342,30.4094,0.1756,E
16,622.9,579.81,88.26,244,50.0,0.2854,E
12,641.12,599.8,75.97,866,36.7206,0.1386,E
12,655.46,599.8,78.97,477,18.6583,0.1387,E
12,643.65,609.8,78.97,550,38.7273,0.1412,E
11,614.48,589.8,90.94,113,29.2035,0.1731,E
13,623.49,589.8,89.58,98,39.7959,0.3487,E
16,624.79,589.8,89.58,158,62.6582,0.2784,E
15,595.52,349.88,69.79,1516,66.029,0.3084,E
17,595.63,349.88,50.44,8219,66.6991,0.1749,E
13,618.49,549.82,50.44,6965,69.2175,0.1406,E
10,630.01,549.82,81.11,557,29.0844,0.3451,E
11,678.61,569.81,44.79,14286,77.6844,0.3084,E
15,678.02,549.82,44.79,36055,68.1459,0.2581,E
15,633.12,549.82,61.88,4702,66.2484,0.1504,E
13,644.1,559.81,63.18,2293,46.7074,0.1764,E
11,655.92,619.79,83.36,477,35.2201,0.1386,E
11,621.97,559.81,85.74,261,44.0613,0.1398,E
13,618.49,559.81,85.74,101,29.703000000000003,0.1406,E
11,665.59,609.8,82.22,186,16.6667,0.1398,E
12,674.78,609.8,82.22,251,35.8566,0.1411,E
12,692.94,609.8,62.52,1860,71.3441,0.17600000000000002,E
11,719.51,619.79,62.52,3150,69.2063,0.1737,E
13,685.01,609.8,70.61,1505,59.0698,0.1738,E
20,654.55,589.8,83.36,456,51.3158,0.1736,E
17,646.01,579.81,82.22,751,22.7696,0.1376,E
12,673.58,579.81,65.24,2448,30.433000000000003,0.1767,E
13,675.36,599.8,65.24,2391,23.8394,0.1377,E
19,646.6,599.8,83.36,575,20.3478,0.3163,E
16,658.42,599.8,77.95,541,56.3771,0.1726,E
12,668.61,619.79,77.95,810,41.2346,0.2087,E
12,677.16,619.79,78.97,581,39.4148,0.1406,E
9,671.17,619.79,81.11,412,52.6699,0.1386,E
12,669.08,629.79,82.22,358,71.2291,0.1738,E
15,673.82,639.79,82.22,488,78.6885,0.1767,E
